Lawyer ID,Rating,Specialization,Experience Date,Location,Budget
15,3.85,Corporate Law,2023,Chanagancherry Munsiff court,1037.0
20,3.74,Corporate Law,2023,Kanjirapally Court,1414.0
34,1.42,Family Law,2023,Kanjirapally Court,1096.0
44,4.72,Corporate Law,2023,Chagancherry Court,1325.0
54,1.53,Family Law,2023,Chanagancherry Munsiff court,1223.0
57,2.05,Family Law,2023,Chanagancherry Munsiff court,1282.0
63,2.76,Family Law,2023,Kanjirapally Munsiff court,1319.0
67,2.14,Family Law,2023,Chanagancherry Munsiff court,1147.0
79,4.3,Criminal Law,2023,Chagancherry Court,1142.0
81,4.47,Immigration Law,2023,Kanjirapally Court,1698.0
92,1.14,Family Law,2023,Kottayam Distict Court,1863.0
93,2.88,Family Law,2023,Kottayam Distict Court,1022.0
104,3.81,Criminal Law,2023,Kanjirapally Court,1003.0
106,2.03,Immigration Law,2023,High Court,1048.0
107,3.59,Immigration Law,2023,Kottayam Distict Court,1365.0
111,4.6,Family Law,2023,Chanagancherry Munsiff court,1141.0
112,2.89,Family Law,2023,Chagancherry Court,1622.0
118,3.06,Family Law,2023,Kottayam Distict Court,1572.0
124,3.64,Criminal Law,2023,Chagancherry Court,1351.0
150,3.72,Criminal Law,2023,High Court,1226.0
152,3.8,Family Law,2023,Chanagancherry Munsiff court,1140.0
155,3.81,Personal Injury,2023,Chagancherry Court,1143.0
157,1.05,Immigration Law,2023,Kanjirapally Court,1192.0
160,3.24,Corporate Law,2023,Kottayam Distict Court,1631.0
166,3.41,Corporate Law,2023,Chanagancherry Munsiff court,1911.0
172,3.73,Criminal Law,2023,Chanagancherry Munsiff court,1796.0
177,2.8,Family Law,2023,High Court,1402.0
209,4.04,Criminal Law,2023,Chagancherry Court,1702.0
210,4.45,Immigration Law,2023,Kanjirapally Munsiff court,1447.0
219,3.78,Family Law,2023,Chanagancherry Munsiff court,1069.0
222,4.25,Immigration Law,2023,Kanjirapally Munsiff court,1529.0
225,4.9,Personal Injury,2023,Kottayam Distict Court,1570.0
228,3.99,Personal Injury,2023,Chanagancherry Munsiff court,1021.0
236,2.1,Immigration Law,2023,Kanjirapally Court,1359.0
244,1.43,Immigration Law,2023,Kottayam Distict Court,1994.0
252,1.48,Family Law,2023,Kottayam Distict Court,1606.0
253,3.69,Criminal Law,2023,Kanjirapally Court,1132.0
259,3.45,Corporate Law,2023,Kanjirapally Munsiff court,1264.0
266,2.83,Personal Injury,2023,Kanjirapally Court,1096.0
281,3.04,Immigration Law,2023,Kanjirapally Court,1741.0
290,3.78,Personal Injury,2023,Kanjirapally Court,1547.0
291,4.49,Personal Injury,2023,Kanjirapally Munsiff court,1155.0
299,4.2,Personal Injury,2023,Kottayam Distict Court,1163.0
305,2.3,Family Law,2023,High Court,1062.0
310,2.87,Personal Injury,2023,Kanjirapally Munsiff court,1162.0
311,4.97,Criminal Law,2023,Chagancherry Court,1203.0
312,3.93,Corporate Law,2023,Kanjirapally Court,1955.0
332,1.73,Immigration Law,2023,Kanjirapally Munsiff court,1957.0
336,2.98,Personal Injury,2023,Kottayam Distict Court,1338.0
356,3.12,Personal Injury,2023,Kanjirapally Court,1279.0
377,3.8,Family Law,2023,Kottayam Distict Court,1438.0
382,4.95,Criminal Law,2023,Chanagancherry Munsiff court,1069.0
413,3.1,Corporate Law,2023,Kanjirapally Munsiff court,1534.0
415,4.63,Corporate Law,2023,Kanjirapally Court,1310.0
417,3.92,Criminal Law,2023,High Court,1310.0
418,3.13,Personal Injury,2023,Kanjirapally Court,1837.0
438,3.45,Corporate Law,2023,Kottayam Distict Court,1448.0
444,2.61,Family Law,2023,Kottayam Distict Court,1408.0
468,3.29,Criminal Law,2023,High Court,1249.0
503,1.77,Personal Injury,2023,Chagancherry Court,1291.0
541,4.86,Corporate Law,2023,Chagancherry Court,1575.0
548,2.69,Corporate Law,2023,Chanagancherry Munsiff court,1945.0
557,3.92,Personal Injury,2023,Kanjirapally Munsiff court,1028.0
569,4.49,Personal Injury,2023,Chanagancherry Munsiff court,1450.0
571,4.61,Corporate Law,2023,Chanagancherry Munsiff court,1390.0
573,2.79,Family Law,2023,High Court,1180.0
580,2.49,Immigration Law,2023,High Court,1724.0
583,3.64,Personal Injury,2023,High Court,1656.0
592,3.23,Family Law,2023,High Court,1131.0
598,3.7,Personal Injury,2023,Chagancherry Court,1364.0
611,3.23,Criminal Law,2023,Kanjirapally Court,1042.0
613,1.25,Criminal Law,2023,Kanjirapally Munsiff court,1921.0
618,1.74,Family Law,2023,Kanjirapally Munsiff court,1836.0
620,1.97,Family Law,2023,Chanagancherry Munsiff court,1825.0
637,4.14,Family Law,2023,Kanjirapally Court,1342.0
638,4.34,Immigration Law,2023,Kanjirapally Munsiff court,1186.0
654,4.03,Criminal Law,2023,Kanjirapally Munsiff court,1559.0
655,4.04,Criminal Law,2023,Kottayam Distict Court,1686.0
656,3.62,Criminal Law,2023,Kottayam Distict Court,1200.0
662,3.05,Personal Injury,2023,High Court,1765.0
665,2.44,Corporate Law,2023,Kanjirapally Munsiff court,1470.0
666,4.42,Immigration Law,2023,Kanjirapally Munsiff court,1690.0
667,3.85,Criminal Law,2023,Chanagancherry Munsiff court,1314.0
673,2.67,Family Law,2023,Kanjirapally Court,1542.0
679,4.17,Immigration Law,2023,Chanagancherry Munsiff court,1053.0
686,3.92,Criminal Law,2023,Chagancherry Court,1039.0
697,1.6,Corporate Law,2023,Chanagancherry Munsiff court,1544.0
702,2.85,Corporate Law,2023,Chagancherry Court,1298.0
706,3.65,Immigration Law,2023,Kottayam Distict Court,1359.0
708,2.64,Criminal Law,2023,High Court,1311.0
709,1.53,Personal Injury,2023,Kottayam Distict Court,1078.0
726,4.65,Immigration Law,2023,High Court,1824.0
742,4.66,Criminal Law,2023,High Court,1068.0
761,1.31,Personal Injury,2023,Chanagancherry Munsiff court,1730.0
766,4.05,Criminal Law,2023,Kanjirapally Munsiff court,1564.0
776,4.48,Personal Injury,2023,Kottayam Distict Court,1071.0
781,1.46,Personal Injury,2023,Chanagancherry Munsiff court,1062.0
796,3.51,Personal Injury,2023,High Court,1367.0
798,1.12,Immigration Law,2023,Kottayam Distict Court,1866.0
804,3.58,Family Law,2023,Kottayam Distict Court,1809.0
863,1.55,Criminal Law,2023,Kottayam Distict Court,1367.0
868,2.24,Criminal Law,2023,Kottayam Distict Court,1812.0
871,4.31,Family Law,2023,Kottayam Distict Court,1984.0
875,2.84,Family Law,2023,Kanjirapally Court,1805.0
888,4.83,Personal Injury,2023,High Court,1495.0
900,2.1,Family Law,2023,High Court,1724.0
923,4.71,Family Law,2023,Kanjirapally Court,1979.0
927,1.59,Criminal Law,2023,Chagancherry Court,1311.0
951,2.97,Personal Injury,2023,Kottayam Distict Court,1064.0
973,4.76,Corporate Law,2023,Chanagancherry Munsiff court,1349.0
976,1.67,Family Law,2023,Kanjirapally Court,1119.0
978,1.6,Personal Injury,2023,Kottayam Distict Court,1220.0
986,1.18,Personal Injury,2023,Chagancherry Court,1357.0
990,3.35,Family Law,2023,Chagancherry Court,1795.0
998,1.99,Personal Injury,2023,Kottayam Distict Court,1327.0
1027,1.31,Personal Injury,2023,High Court,1298.0
1028,3.31,Family Law,2023,High Court,1356.0
